Row.names,description,GRA,mtb_strain,dose,mouse_strain,Run,day 
GSM4066715,HN878_B_Low_C57Bl6,GRA502A596,HN878,Low,C57Bl6,SRR10085134,56
GSM4066716,HN878_B_Low_C57Bl6,GRA502A597,HN878,Low,C57Bl6,SRR10085135,56
GSM4066717,HN878_B_Low_C57Bl6,GRA502A598,HN878,Low,C57Bl6,SRR10085136,56
GSM4066718,HN878_B_Low_C57Bl6,GRA502A599,HN878,Low,C57Bl6,SRR10085137,56
GSM4066719,HN878_B_Low_C57Bl6,GRA502A600,HN878,Low,C57Bl6,SRR10085138,56
GSM4066720,HN878_B_High_C57Bl6,GRA502A601,HN878,High,C57Bl6,SRR10085139,33
GSM4066721,HN878_B_High_C57Bl6,GRA502A602,HN878,High,C57Bl6,SRR10085140,33
GSM4066722,HN878_B_High_C57Bl6,GRA502A603,HN878,High,C57Bl6,SRR10085141,33
GSM4066723,HN878_B_High_C57Bl6,GRA502A604,HN878,High,C57Bl6,SRR10085142,33
GSM4066724,HN878_B_High_C57Bl6,GRA502A605,HN878,High,C57Bl6,SRR10085143,33
GSM4066725,HN878_B_Uninfected_C57Bl6,GRA502A606,Uninfected,Uninfected,C57Bl6,SRR10085144,56
GSM4066726,HN878_B_Uninfected_C57Bl6,GRA502A607,Uninfected,Uninfected,C57Bl6,SRR10085145,56
GSM4066727,HN878_B_Uninfected_C57Bl6,GRA502A608,Uninfected,Uninfected,C57Bl6,SRR10085146,56
GSM4066728,HN878_B_Uninfected_C57Bl6,GRA502A609,Uninfected,Uninfected,C57Bl6,SRR10085147,56
GSM4066729,HN878_B_Uninfected_C57Bl6,GRA502A610,Uninfected,Uninfected,C57Bl6,SRR10085148,56
GSM4066730,HN878_E_Low_C3HeBFeJ,GRA502A611,HN878,Low,C3HeBFeJ,SRR10085149,35
GSM4066731,HN878_E_Low_C3HeBFeJ,GRA502A613,HN878,Low,C3HeBFeJ,SRR10085150,35
GSM4066732,HN878_E_Low_C3HeBFeJ,GRA502A614,HN878,Low,C3HeBFeJ,SRR10085151,35
GSM4066733,HN878_E_Low_C3HeBFeJ,GRA502A615,HN878,Low,C3HeBFeJ,SRR10085152,35
GSM4066734,HN878_E_High_C3HeBFeJ,GRA502A616,HN878,High,C3HeBFeJ,SRR10085153,32
GSM4066735,HN878_E_High_C3HeBFeJ,GRA502A617,HN878,High,C3HeBFeJ,SRR10085154,32
GSM4066736,HN878_E_High_C3HeBFeJ,GRA502A618,HN878,High,C3HeBFeJ,SRR10085155,32
GSM4066737,HN878_E_High_C3HeBFeJ,GRA502A619,HN878,High,C3HeBFeJ,SRR10085156,32
GSM4066738,HN878_E_High_C3HeBFeJ,GRA502A620,HN878,High,C3HeBFeJ,SRR10085157,32
GSM4066739,HN878_E_Uninfected_C3HeBFeJ,GRA502A621,Uninfected,Uninfected,C3HeBFeJ,SRR10085158,40
GSM4066740,HN878_E_Uninfected_C3HeBFeJ,GRA502A622,Uninfected,Uninfected,C3HeBFeJ,SRR10085159,40
