humEns,mouseEns,hgnc_symbol
ENSG00000000003,ENSMUSG00000067377,TSPAN6
ENSG00000000971,ENSMUSG00000026365,CFH
ENSG00000002549,ENSMUSG00000039682,LAP3
ENSG00000002587,ENSMUSG00000051022,HS3ST1
ENSG00000002726,ENSMUSG00000029811,AOC1
ENSG00000002822,ENSMUSG00000029554,MAD1L1
ENSG00000003249,ENSMUSG00000031970,DBNDD1
ENSG00000003402,ENSMUSG00000026031,CFLAR
ENSG00000003436,ENSMUSG00000027082,TFPI
ENSG00000004139,ENSMUSG00000050132,SARM1
ENSG00000004468,ENSMUSG00000029084,CD38
ENSG00000004776,ENSMUSG00000036854,HSPB6
ENSG00000004777,ENSMUSG00000036882,ARHGAP33
ENSG00000004799,ENSMUSG00000019577,PDK4
ENSG00000004838,ENSMUSG00000010044,ZMYND10
ENSG00000004939,ENSMUSG00000006574,SLC4A1
ENSG00000005175,ENSMUSG00000022466,RPAP3
ENSG00000005249,ENSMUSG00000002997,PRKAR2B
ENSG00000005302,ENSMUSG00000031358,MSL3
ENSG00000005381,ENSMUSG00000009350,MPO
ENSG00000005448,ENSMUSG00000030032,WDR54
ENSG00000005893,ENSMUSG00000016534,LAMP2
ENSG00000005961,ENSMUSG00000034664,ITGA2B
ENSG00000006007,ENSMUSG00000033917,GDE1
ENSG00000006025,ENSMUSG00000038534,OSBPL7
ENSG00000006432,ENSMUSG00000042724,MAP3K9
ENSG00000006555,ENSMUSG00000034919,TTC22
ENSG00000006652,ENSMUSG00000001627,IFRD1
ENSG00000006747,ENSMUSG00000002565,SCIN
ENSG00000007237,ENSMUSG00000033066,GAS7
ENSG00000007255,ENSMUSG00000002043,TRAPPC6A
ENSG00000007264,ENSMUSG00000004933,MATK
ENSG00000007312,ENSMUSG00000040592,CD79B
ENSG00000007392,ENSMUSG00000024188,LUC7L
ENSG00000007402,ENSMUSG00000010066,CACNA2D2
ENSG00000007516,ENSMUSG00000047507,BAIAP3
ENSG00000007944,ENSMUSG00000038175,MYLIP
ENSG00000008130,ENSMUSG00000029063,NADK
ENSG00000008226,ENSMUSG00000038060,DLEC1
ENSG00000008283,ENSMUSG00000019590,CYB561
ENSG00000008300,ENSMUSG00000023473,CELSR3
ENSG00000008394,ENSMUSG00000008540,MGST1
ENSG00000008438,ENSMUSG00000030413,PGLYRP1
ENSG00000008516,ENSMUSG00000023903,MMP25
ENSG00000008710,ENSMUSG00000032855,PKD1
ENSG00000010310,ENSMUSG00000030406,GIPR
ENSG00000010327,ENSMUSG00000042286,STAB1
ENSG00000010704,ENSMUSG00000006611,HFE
ENSG00000010803,ENSMUSG00000000085,SCMH1
ENSG00000010810,ENSMUSG00000019843,FYN
ENSG00000011105,ENSMUSG00000030352,TSPAN9
ENSG00000011422,ENSMUSG00000046223,PLAUR
ENSG00000011478,ENSMUSG00000030407,QPCTL
ENSG00000011485,ENSMUSG00000003099,PPP5C
ENSG00000011590,ENSMUSG00000006310,ZBTB32
ENSG00000011600,ENSMUSG00000030579,TYROBP
ENSG00000012048,ENSMUSG00000017146,BRCA1
ENSG00000012124,ENSMUSG00000030577,CD22
ENSG00000012223,ENSMUSG00000032496,LTF
ENSG00000012660,ENSMUSG00000032349,ELOVL5
ENSG00000012779,ENSMUSG00000025701,ALOX5
ENSG00000013364,ENSMUSG00000030681,MVP
ENSG00000013374,ENSMUSG00000028954,NUB1
ENSG00000013583,ENSMUSG00000042770,HEBP1
ENSG00000013725,ENSMUSG00000024670,CD6
ENSG00000014164,ENSMUSG00000075600,ZC3H3
ENSG00000017427,ENSMUSG00000020053,IGF1
ENSG00000018280,ENSMUSG00000026177,SLC11A1
ENSG00000019169,ENSMUSG00000026390,MARCO
ENSG00000019485,ENSMUSG00000075028,PRDM11
ENSG00000019991,ENSMUSG00000028864,HGF
ENSG00000020577,ENSMUSG00000021838,SAMD4A
ENSG00000020633,ENSMUSG00000070691,RUNX3
ENSG00000021300,ENSMUSG00000030701,PLEKHB1
ENSG00000021355,ENSMUSG00000044734,SERPINB1
ENSG00000021488,ENSMUSG00000030492,SLC7A9
ENSG00000022840,ENSMUSG00000041740,RNF10
ENSG00000023171,ENSMUSG00000040111,GRAMD1B
ENSG00000023318,ENSMUSG00000028343,ERP44
ENSG00000023697,ENSMUSG00000030225,DERA
ENSG00000023839,ENSMUSG00000025194,ABCC2
ENSG00000023909,ENSMUSG00000028124,GCLM
ENSG00000024048,ENSMUSG00000023977,UBR2
ENSG00000025039,ENSMUSG00000028278,RRAGD
ENSG00000025423,ENSMUSG00000025396,HSD17B6
